"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1518","RT @partidoverde_ar: Compartimos la nota de @ComunasAM a nuestra presidenta @vazquezsilvia https://t.co/bWCrWkmrOf

#CambioClimático 
#Just…",FALSE,0,NA,2019-05-24 21:57:18,FALSE,NA,"1132042918259302401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseFugazzotto",6,TRUE,FALSE,NA,NA
"1519","RT @AVAst_Equo: ""El #CambioClimatico es el mayor reto del siglo XXI, también en Asturias, que tiene que declarar el estado de #emergenciacl…",FALSE,0,NA,2019-05-24 21:56:01,FALSE,NA,"1132042593007747077",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sofia_EQUO",27,TRUE,FALSE,NA,NA
"1520","RT @Liberales_Chile: HOY | Invitamos a tod@s a la marcha contra el #CambioClimático de este viernes. 

Si quieres sumarte, escríbenos a com…",FALSE,0,NA,2019-05-24 21:54:34,FALSE,NA,"1132042228082327554",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soyyotodoelrato",6,TRUE,FALSE,NA,NA
"1521","La candidata a las elecciones europeas, Bibiana Fernández @bibiana_sehnert, desde Santa Cruz de Tenerife apoyando a… https://t.co/5KDqprGsdP",FALSE,17,NA,2019-05-24 21:53:09,TRUE,NA,"1132041871461617664",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RecortesCero",13,FALSE,FALSE,NA,NA
"1522","RT @pablonegri: En vivo <U+270A><U+0001F333><U+0001F33F><U+0001F30E> 2ª Marcha Global Contra la #CrisisClimática y Ecológica #EmergenciaClimática #CambioClimático #CalentamientoGl…",FALSE,0,NA,2019-05-24 21:52:54,FALSE,NA,"1132041810405146625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PlazaItaliaStgo",18,TRUE,FALSE,NA,NA
"1523","RT @CMNUCC: ¿Eres periodista y te interesa la #COP25? Te invitamos a participar en este #webinar con Patricia Espinosa, Secretaria Ejecutiv…",FALSE,0,NA,2019-05-24 21:52:51,FALSE,NA,"1132041796861779969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","revistapaginav",31,TRUE,FALSE,NA,NA
"1524","#AEstaHora | Carolina Olivera, Especialista Regional de Suelos para Latinoamérica @FAO, presenta “#Suelos y… https://t.co/qIbUG03ybA",FALSE,8,NA,2019-05-24 21:52:30,TRUE,NA,"1132041710945624070",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FAO_Colombia",2,FALSE,FALSE,NA,NA
"1525","RT @LaVerdadEnOnda: Confirman que la mayoría de las misteriosas emisiones de un gas que destruye la capa de ozono provienen de China
https:…",FALSE,0,NA,2019-05-24 21:50:32,FALSE,NA,"1132041214373584897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desdelaluna",3,TRUE,FALSE,NA,NA
"1526","RT @JosepBorrellF: Hay que luchar de manera decidida e inmediata contra el #CambioClimático y aprovechar para transformar la economía crean…",FALSE,0,NA,2019-05-24 21:50:30,FALSE,NA,"1132041207465545728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palenzuelayoli",181,TRUE,FALSE,NA,NA
"1527","RT @ReutersLatam: Huelga mundial de niños en edad escolar por el #CambioClimático https://t.co/4NPs98vjGk",FALSE,0,NA,2019-05-24 21:50:10,FALSE,NA,"1132041122799341568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sosa_edecio",23,TRUE,FALSE,NA,NA
"1528","RT @Tuiterricolas: *<U+20E3> Esto es lo que ocurriría si se derritiera todo el hielo del planeta #CambioClimático https://t.co/AlNfQNo2SN",FALSE,0,NA,2019-05-24 21:49:07,FALSE,NA,"1132040856196780032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmadaVenezuela4",1,TRUE,FALSE,NA,NA
"1529","RT @Laminuta: Atlas de riesgo de Oaxaca, peligrosamente mal preparado para enfrentar el cambio climático
https://t.co/dhccinHTC5
#Oaxaca #h…",FALSE,0,NA,2019-05-24 21:48:37,FALSE,NA,"1132040733727297536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","licbettymtz",3,TRUE,FALSE,NA,NA
